en,ru,level,source
controversial,спорный,B2,User-provided list: b2-user.md
cooperate,сотрудничать,B2,User-provided list: b2-user.md
coordinate,координировать,B2,User-provided list: b2-user.md
core,"основа, ядро",B2,User-provided list: b2-user.md
corporate,корпоративный,B2,User-provided list: b2-user.md
correspond,соответствовать,B2,User-provided list: b2-user.md
crucial,решающий,B2,User-provided list: b2-user.md
decline,"снижаться, отказ",B2,User-provided list: b2-user.md
deduce,делать вывод,B2,User-provided list: b2-user.md
demonstrate,демонстрировать,B2,User-provided list: b2-user.md
denote,обозначать,B2,User-provided list: b2-user.md
derive,"происходить, получать",B2,User-provided list: b2-user.md
detect,обнаруживать,B2,User-provided list: b2-user.md
deviate,отклоняться,B2,User-provided list: b2-user.md
diminish,уменьшать,B2,User-provided list: b2-user.md
discriminate,дискриминировать,B2,User-provided list: b2-user.md
dispose,распоряжаться,B2,User-provided list: b2-user.md
distinct,"отдельный, различный",B2,User-provided list: b2-user.md
distort,искажать,B2,User-provided list: b2-user.md
diverse,разнообразный,B2,User-provided list: b2-user.md
domestic,"внутренний, домашний",B2,User-provided list: b2-user.md
dominate,доминировать,B2,User-provided list: b2-user.md
draft,черновик,B2,User-provided list: b2-user.md
dynamic,динамичный,B2,User-provided list: b2-user.md
eliminate,устранять,B2,User-provided list: b2-user.md
emerge,появляться,B2,User-provided list: b2-user.md
empirical,основанный на опыте,B2,User-provided list: b2-user.md
enable,позволять,B2,User-provided list: b2-user.md
encounter,сталкиваться,B2,User-provided list: b2-user.md
enhance,улучшать,B2,User-provided list: b2-user.md
ensure,обеспечивать,B2,User-provided list: b2-user.md
equivalent,эквивалентный,B2,User-provided list: b2-user.md
ethical,этичный,B2,User-provided list: b2-user.md
evaluate,оценивать,B2,User-provided list: b2-user.md
exceed,превышать,B2,User-provided list: b2-user.md
exclude,исключать,B2,User-provided list: b2-user.md
exploit,использовать,B2,User-provided list: b2-user.md
facilitate,облегчать,B2,User-provided list: b2-user.md
fluctuate,колебаться,B2,User-provided list: b2-user.md
forthcoming,предстоящий,B2,User-provided list: b2-user.md
framework,структура,B2,User-provided list: b2-user.md
furthermore,кроме того,B2,User-provided list: b2-user.md
generate,создавать,B2,User-provided list: b2-user.md
grant,предоставлять,B2,User-provided list: b2-user.md
guarantee,гарантировать,B2,User-provided list: b2-user.md
highlight,подчёркивать,B2,User-provided list: b2-user.md
hierarchy,иерархия,B2,User-provided list: b2-user.md
hypothesis,гипотеза,B2,User-provided list: b2-user.md
identical,идентичный,B2,User-provided list: b2-user.md
illustrate,иллюстрировать,B2,User-provided list: b2-user.md
incentive,стимул,B2,User-provided list: b2-user.md
incidence,частота случаев,B2,User-provided list: b2-user.md
incline,склоняться,B2,User-provided list: b2-user.md
inevitably,неизбежно,B2,User-provided list: b2-user.md
infer,делать вывод,B2,User-provided list: b2-user.md
inhibit,препятствовать,B2,User-provided list: b2-user.md
initiate,инициировать,B2,User-provided list: b2-user.md
innovative,инновационный,B2,User-provided list: b2-user.md
inspect,осматривать,B2,User-provided list: b2-user.md
integrate,объединять,B2,User-provided list: b2-user.md
integrity,честность,B2,User-provided list: b2-user.md
intense,интенсивный,B2,User-provided list: b2-user.md
interact,взаимодействовать,B2,User-provided list: b2-user.md
intermediate,средний,B2,User-provided list: b2-user.md
interpret,толковать,B2,User-provided list: b2-user.md
intervene,вмешиваться,B2,User-provided list: b2-user.md
intrinsic,внутренний,B2,User-provided list: b2-user.md
investigate,исследовать,B2,User-provided list: b2-user.md
justify,оправдывать,B2,User-provided list: b2-user.md
likewise,подобным образом,B2,User-provided list: b2-user.md
maintain,поддерживать,B2,User-provided list: b2-user.md
manipulate,манипулировать,B2,User-provided list: b2-user.md
maximize,максимизировать,B2,User-provided list: b2-user.md
minimize,минимизировать,B2,User-provided list: b2-user.md
mutual,взаимный,B2,User-provided list: b2-user.md
nevertheless,"тем не менее, однако",B2,User-provided list: b2-user.md
notion,понятие,B2,User-provided list: b2-user.md
objective,"цель, объективный",B2,User-provided list: b2-user.md
obtain,получать,B2,User-provided list: b2-user.md
ongoing,продолжающийся,B2,User-provided list: b2-user.md
orient,ориентировать,B2,User-provided list: b2-user.md
outcome,результат,B2,User-provided list: b2-user.md
overall,общий,B2,User-provided list: b2-user.md
parameter,параметр,B2,User-provided list: b2-user.md
perceive,воспринимать,B2,User-provided list: b2-user.md
persistent,настойчивый,B2,User-provided list: b2-user.md
perspective,перспектива,B2,User-provided list: b2-user.md
phenomenon,явление,B2,User-provided list: b2-user.md
prospective,будущий,B2,User-provided list: b2-user.md
precise,точный,B2,User-provided list: b2-user.md
predominant,преобладающий,B2,User-provided list: b2-user.md
preliminary,предварительный,B2,User-provided list: b2-user.md
presume,предполагать,B2,User-provided list: b2-user.md
priority,приоритет,B2,User-provided list: b2-user.md
proceed,продолжать,B2,User-provided list: b2-user.md
prohibit,запрещать,B2,User-provided list: b2-user.md
promote,продвигать,B2,User-provided list: b2-user.md
proportion,"пропорция, доля",B2,User-provided list: b2-user.md
pursue,"преследовать, стремиться",B2,User-provided list: b2-user.md
qualitative,качественный,B2,User-provided list: b2-user.md
reluctant,неохотный,B2,User-provided list: b2-user.md
reinforce,укреплять,B2,User-provided list: b2-user.md
reject,отвергать,B2,User-provided list: b2-user.md
relevant,относящийся к делу,B2,User-provided list: b2-user.md
reliable,надёжный,B2,User-provided list: b2-user.md
resolve,решать,B2,User-provided list: b2-user.md
retain,сохранять,B2,User-provided list: b2-user.md
reveal,раскрывать,B2,User-provided list: b2-user.md
rigid,жёсткий,B2,User-provided list: b2-user.md
scenario,сценарий,B2,User-provided list: b2-user.md
subsequent,последующий,B2,User-provided list: b2-user.md
sufficient,достаточный,B2,User-provided list: b2-user.md
supplement,дополнение,B2,User-provided list: b2-user.md
suspend,приостанавливать,B2,User-provided list: b2-user.md
sustainable,устойчивый,B2,User-provided list: b2-user.md
transform,преобразовывать,B2,User-provided list: b2-user.md
transparent,прозрачный,B2,User-provided list: b2-user.md
trend,тенденция,B2,User-provided list: b2-user.md
trigger,вызывать,B2,User-provided list: b2-user.md
undergo,подвергаться,B2,User-provided list: b2-user.md
unique,уникальный,B2,User-provided list: b2-user.md
utilise,использовать,B2,User-provided list: b2-user.md
valid,действительный,B2,User-provided list: b2-user.md
vary,различаться,B2,User-provided list: b2-user.md
virtual,виртуальный,B2,User-provided list: b2-user.md
visible,видимый,B2,User-provided list: b2-user.md
voluntary,добровольный,B2,User-provided list: b2-user.md
widespread,широко распространённый,B2,User-provided list: b2-user.md
worthwhile,стоящий,B2,User-provided list: b2-user.md
achievement,достижение,B2,User-provided list: b2-user.md
awareness,осведомлённость,B2,User-provided list: b2-user.md
behaviour,поведение,B2,User-provided list: b2-user.md
benefit,преимущество,B2,User-provided list: b2-user.md
boundary,граница,B2,User-provided list: b2-user.md
campaign,кампания,B2,User-provided list: b2-user.md
capability,способность,B2,User-provided list: b2-user.md
category,категория,B2,User-provided list: b2-user.md
commitment,обязательство,B2,User-provided list: b2-user.md
communication,общение,B2,User-provided list: b2-user.md
comparison,сравнение,B2,User-provided list: b2-user.md
compensation,компенсация,B2,User-provided list: b2-user.md
competition,конкуренция,B2,User-provided list: b2-user.md
conclusion,вывод,B2,User-provided list: b2-user.md
confidence,уверенность,B2,User-provided list: b2-user.md
consequence,последствие,B2,User-provided list: b2-user.md
consideration,рассмотрение,B2,User-provided list: b2-user.md
construction,строительство,B2,User-provided list: b2-user.md
consultation,консультация,B2,User-provided list: b2-user.md
consumption,потребление,B2,User-provided list: b2-user.md
contribution,вклад,B2,User-provided list: b2-user.md
controversy,спор,B2,User-provided list: b2-user.md
cooperation,сотрудничество,B2,User-provided list: b2-user.md
creativity,творчество,B2,User-provided list: b2-user.md
criticism,критика,B2,User-provided list: b2-user.md
curiosity,любопытство,B2,User-provided list: b2-user.md
definition,определение,B2,User-provided list: b2-user.md
depression,депрессия,B2,User-provided list: b2-user.md
determination,решительность,B2,User-provided list: b2-user.md
development,развитие,B2,User-provided list: b2-user.md
disadvantage,недостаток,B2,User-provided list: b2-user.md
discrimination,дискриминация,B2,User-provided list: b2-user.md
distribution,распределение,B2,User-provided list: b2-user.md
diversity,разнообразие,B2,User-provided list: b2-user.md
economy,экономика,B2,User-provided list: b2-user.md
efficiency,эффективность,B2,User-provided list: b2-user.md
employment,занятость,B2,User-provided list: b2-user.md
encouragement,поддержка,B2,User-provided list: b2-user.md
environment,окружающая среда,B2,User-provided list: b2-user.md
equality,равенство,B2,User-provided list: b2-user.md
expectation,ожидание,B2,User-provided list: b2-user.md
expansion,расширение,B2,User-provided list: b2-user.md
explanation,объяснение,B2,User-provided list: b2-user.md
exposure,воздействие,B2,User-provided list: b2-user.md
failure,неудача,B2,User-provided list: b2-user.md
feature,характеристика,B2,User-provided list: b2-user.md
flexibility,гибкость,B2,User-provided list: b2-user.md
foundation,основа,B2,User-provided list: b2-user.md
friendship,дружба,B2,User-provided list: b2-user.md
generation,поколение,B2,User-provided list: b2-user.md
guidance,руководство,B2,User-provided list: b2-user.md
identity,"личность, идентичность",B2,User-provided list: b2-user.md
implication,"значение, последствие",B2,User-provided list: b2-user.md
importance,важность,B2,User-provided list: b2-user.md
improvement,улучшение,B2,User-provided list: b2-user.md
independence,независимость,B2,User-provided list: b2-user.md
indication,признак,B2,User-provided list: b2-user.md
influence,влияние,B2,User-provided list: b2-user.md
innovation,инновация,B2,User-provided list: b2-user.md
inspection,проверка,B2,User-provided list: b2-user.md
intention,намерение,B2,User-provided list: b2-user.md
interaction,взаимодействие,B2,User-provided list: b2-user.md
interpretation,толкование,B2,User-provided list: b2-user.md
investment,инвестиция,B2,User-provided list: b2-user.md
investigation,расследование,B2,User-provided list: b2-user.md
leadership,лидерство,B2,User-provided list: b2-user.md
legislation,законодательство,B2,User-provided list: b2-user.md
limitation,ограничение,B2,User-provided list: b2-user.md
majority,большинство,B2,User-provided list: b2-user.md
motivation,мотивация,B2,User-provided list: b2-user.md
obligation,обязательство,B2,User-provided list: b2-user.md
occupation,профессия,B2,User-provided list: b2-user.md
opposition,оппозиция,B2,User-provided list: b2-user.md
organisation,организация,B2,User-provided list: b2-user.md
participation,участие,B2,User-provided list: b2-user.md
permission,разрешение,B2,User-provided list: b2-user.md
personality,личность,B2,User-provided list: b2-user.md
poverty,бедность,B2,User-provided list: b2-user.md
preference,предпочтение,B2,User-provided list: b2-user.md
preparation,подготовка,B2,User-provided list: b2-user.md
probability,вероятность,B2,User-provided list: b2-user.md
procedure,процедура,B2,User-provided list: b2-user.md
production,производство,B2,User-provided list: b2-user.md
profession,профессия,B2,User-provided list: b2-user.md
promotion,продвижение,B2,User-provided list: b2-user.md
protection,защита,B2,User-provided list: b2-user.md
qualification,квалификация,B2,User-provided list: b2-user.md
recognition,признание,B2,User-provided list: b2-user.md
recommendation,рекомендация,B2,User-provided list: b2-user.md
reduction,сокращение,B2,User-provided list: b2-user.md
regulation,"правило, регулирование",B2,User-provided list: b2-user.md
relationship,отношения,B2,User-provided list: b2-user.md
requirement,требование,B2,User-provided list: b2-user.md
resistance,сопротивление,B2,User-provided list: b2-user.md
responsibility,ответственность,B2,User-provided list: b2-user.md
restriction,ограничение,B2,User-provided list: b2-user.md
satisfaction,удовлетворение,B2,User-provided list: b2-user.md
significance,значение,B2,User-provided list: b2-user.md
account for,"объяснять, составлять",B2,User-provided list: b2-user.md
act on,действовать согласно,B2,User-provided list: b2-user.md
add up,складываться,B2,User-provided list: b2-user.md
back up,"поддерживать, создавать копию",B2,User-provided list: b2-user.md
break down,ломаться,B2,User-provided list: b2-user.md
break into,ворваться,B2,User-provided list: b2-user.md
bring about,вызывать,B2,User-provided list: b2-user.md
bring up,"воспитывать, поднимать тему",B2,User-provided list: b2-user.md
call off,отменять,B2,User-provided list: b2-user.md
carry on,продолжать,B2,User-provided list: b2-user.md
carry out,выполнять,B2,User-provided list: b2-user.md
come across,случайно встретить,B2,User-provided list: b2-user.md
come up with,придумать,B2,User-provided list: b2-user.md
cut down on,сократить,B2,User-provided list: b2-user.md
deal with,иметь дело,B2,User-provided list: b2-user.md
depend on,зависеть от,B2,User-provided list: b2-user.md
dispose of,избавляться от,B2,User-provided list: b2-user.md
do without,обходиться без,B2,User-provided list: b2-user.md
draw up,составлять,B2,User-provided list: b2-user.md
drop out,бросить учёбу,B2,User-provided list: b2-user.md
end up,в итоге оказаться,B2,User-provided list: b2-user.md
figure out,выяснить,B2,User-provided list: b2-user.md
fill in,заполнять,B2,User-provided list: b2-user.md
find out,выяснить,B2,User-provided list: b2-user.md
get across,донести мысль,B2,User-provided list: b2-user.md
get along,ладить,B2,User-provided list: b2-user.md
get away with,избежать наказания,B2,User-provided list: b2-user.md
get by,справляться,B2,User-provided list: b2-user.md
get over,оправиться,B2,User-provided list: b2-user.md
give away,отдавать,B2,User-provided list: b2-user.md
give in,уступать,B2,User-provided list: b2-user.md
give up,сдаваться,B2,User-provided list: b2-user.md
go ahead,продолжать,B2,User-provided list: b2-user.md
go through,пройти через,B2,User-provided list: b2-user.md
grow up,вырасти,B2,User-provided list: b2-user.md
hand in,сдать,B2,User-provided list: b2-user.md
hold back,сдерживать,B2,User-provided list: b2-user.md
keep up,поддерживать темп,B2,User-provided list: b2-user.md
look after,заботиться,B2,User-provided list: b2-user.md
look down on,смотреть свысока,B2,User-provided list: b2-user.md
look into,расследовать,B2,User-provided list: b2-user.md
look forward to,ждать с нетерпением,B2,User-provided list: b2-user.md
look up,искать информацию,B2,User-provided list: b2-user.md
make up,"придумывать, мириться",B2,User-provided list: b2-user.md
narrow down,сузить выбор,B2,User-provided list: b2-user.md
pay back,вернуть долг,B2,User-provided list: b2-user.md
pick up,"подбирать, забирать",B2,User-provided list: b2-user.md
point out,указывать,B2,User-provided list: b2-user.md
put off,откладывать,B2,User-provided list: b2-user.md
put up with,терпеть,B2,User-provided list: b2-user.md
refer to,ссылаться на,B2,User-provided list: b2-user.md
rely on,полагаться на,B2,User-provided list: b2-user.md
rule out,исключать,B2,User-provided list: b2-user.md
run out of,закончиться,B2,User-provided list: b2-user.md
set up,организовать,B2,User-provided list: b2-user.md
show off,хвастаться,B2,User-provided list: b2-user.md
sort out,разобраться,B2,User-provided list: b2-user.md
speak up,говорить громче,B2,User-provided list: b2-user.md
stand out,выделяться,B2,User-provided list: b2-user.md
take after,быть похожим,B2,User-provided list: b2-user.md
take advantage of,воспользоваться,B2,User-provided list: b2-user.md
take into account,учитывать,B2,User-provided list: b2-user.md
take over,взять под контроль,B2,User-provided list: b2-user.md
take part in,участвовать,B2,User-provided list: b2-user.md
take place,происходить,B2,User-provided list: b2-user.md
take up,заняться чем-либо,B2,User-provided list: b2-user.md
turn down,отклонить,B2,User-provided list: b2-user.md
turn into,превратиться,B2,User-provided list: b2-user.md
turn out,оказаться,B2,User-provided list: b2-user.md
turn up,появиться,B2,User-provided list: b2-user.md
work out,"решить, потренироваться",B2,User-provided list: b2-user.md
at first,сначала,B2,User-provided list: b2-user.md
at least,по крайней мере,B2,User-provided list: b2-user.md
by accident,случайно,B2,User-provided list: b2-user.md
by far,намного,B2,User-provided list: b2-user.md
by means of,посредством,B2,User-provided list: b2-user.md
in addition,кроме того,B2,User-provided list: b2-user.md
in advance,заранее,B2,User-provided list: b2-user.md
in charge of,ответственный за,B2,User-provided list: b2-user.md
in common,общий,B2,User-provided list: b2-user.md
in contrast,в отличие,B2,User-provided list: b2-user.md
in detail,подробно,B2,User-provided list: b2-user.md
in favour of,в пользу,B2,User-provided list: b2-user.md
in general,в целом,B2,User-provided list: b2-user.md
in order to,чтобы,B2,User-provided list: b2-user.md
in particular,в частности,B2,User-provided list: b2-user.md
in response to,в ответ на,B2,User-provided list: b2-user.md
in spite of,несмотря на,B2,User-provided list: b2-user.md
on behalf of,от имени,B2,User-provided list: b2-user.md
on purpose,намеренно,B2,User-provided list: b2-user.md
on the other hand,с другой стороны,B2,User-provided list: b2-user.md
on the whole,в целом,B2,User-provided list: b2-user.md
provided that,при условии что,B2,User-provided list: b2-user.md
regardless of,независимо от,B2,User-provided list: b2-user.md
as a result,в результате,B2,User-provided list: b2-user.md
as far as,насколько,B2,User-provided list: b2-user.md
as long as,"пока, при условии",B2,User-provided list: b2-user.md
even though,несмотря на то что,B2,User-provided list: b2-user.md
due to,"из-за, благодаря",B2,User-provided list: b2-user.md
